,PRICE,ROUNDED_NOTIONAL_AMOUNT_1,ACTION_CANCEL,ACTION_CORRECT,ACTION_NEW,TAXONOMY_Credit:Index:CDX:CDXHY,TAXONOMY_Credit:Index:CDX:CDXIG,PRICE_FORMING_CONTINUATION_DATA_Amendment,PRICE_FORMING_CONTINUATION_DATA_Novation,PRICE_FORMING_CONTINUATION_DATA_Partialtermination,PRICE_FORMING_CONTINUATION_DATA_Trade,CLEARED_C,CLEARED_U,INDICATION_OF_COLLATERALIZATION_FC,INDICATION_OF_COLLATERALIZATION_OC,INDICATION_OF_COLLATERALIZATION_PC,INDICATION_OF_COLLATERALIZATION_UC
972672,0.74125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972693,105.30999755859375,11.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
972846,0.743125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972853,0.23,210.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
972874,0.745,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972876,0.745,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972889,0.745,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972998,0.746875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
972999,0.746875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973003,0.746875,100.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973011,104.3499984741211,1.0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
973025,0.746875,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973037,0.746875,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973062,0.674000015258789,55.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973063,0.7438999938964844,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973064,0.674000015258789,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973065,0.7438999938964844,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973067,0.7330000305175781,50.0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
973218,103.5999984741211,5.0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
973238,103.36000061035156,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
973239,103.36000061035156,5.0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
973250,0.8169999694824219,82.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973251,0.860999984741211,75.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973258,0.8136000061035156,110.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
973267,4.169556884765625,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
973268,4.136763000488282,10.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
973286,0.86125,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973288,0.86125,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973292,0.86125,50.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973311,0.87625,25.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973438,0.83,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
973439,0.8733000183105468,110.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
